Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
170,Julian Reese,22,WAS,PF,12,10,31.9,4.8,9.3,.518,0.0,0.0,,4.8,9.3,.518,.518,2.0,3.3,.600,4.4,6.8,11.2,2.0,1.3,0.7,2.7,3.4,11.7,,reeseju01
171,Klay Thompson,35,DAL,SF,68,8,21.9,4.1,10.6,.393,2.9,7.6,.382,1.2,2.9,.420,.531,0.5,0.7,.766,0.3,1.8,2.1,1.4,0.5,0.3,0.9,1.0,11.7,,thompkl01
172,Mark Williams,24,PHO,C,60,55,23.6,4.7,7.3,.644,0.0,0.0,1.000,4.7,7.3,.643,.645,2.3,2.9,.771,3.1,4.9,8.0,1.0,0.9,0.9,1.1,2.2,11.7,,willima07
173,Jarace Walker,22,IND,PF,76,41,25.7,4.0,9.6,.419,1.8,4.7,.374,2.3,5.0,.462,.510,1.8,2.4,.749,0.6,4.5,5.1,2.5,0.8,0.3,1.8,1.6,11.6,,walkeja02
174,Derik Queen,21,NOP,C,80,47,24.8,4.3,9.0,.476,0.3,1.1,.256,4.0,7.9,.506,.492,2.6,3.3,.792,1.6,5.3,6.9,3.7,1.0,0.9,2.3,2.6,11.5,,queende01
175,Kyle Filipowski,22,UTA,C,77,41,23.4,4.2,8.5,.492,1.0,3.0,.325,3.2,5.6,.580,.548,2.1,2.8,.750,1.9,5.3,7.2,2.6,0.9,0.5,1.6,3.0,11.4,,filipky01
176,Pelle Larsson,24,MIA,SG,70,54,26.4,4.0,8.0,.496,0.9,2.7,.323,3.1,5.2,.586,.551,2.6,3.3,.797,1.0,2.5,3.5,3.4,0.7,0.2,1.4,2.1,11.4,,larsspe01
177,Scotty Pippen Jr.,25,MEM,PG,10,6,21.2,4.3,9.6,.448,1.0,3.2,.313,3.3,6.4,.516,.500,1.8,2.3,.783,0.8,1.4,2.2,4.7,1.9,0.4,2.7,3.1,11.4,,pippesc02
178,Rui Hachimura,27,LAL,PF,67,40,28.3,4.5,8.7,.511,1.7,3.8,.440,2.8,4.9,.567,.608,0.7,1.0,.691,0.6,2.6,3.2,0.9,0.6,0.3,0.6,1.6,11.3,,hachiru01
179,Max Strus,29,CLE,SF,11,4,24.5,3.9,8.8,.443,2.9,6.9,.421,1.0,1.9,.524,.608,0.5,0.7,.750,0.8,4.6,5.5,2.0,0.3,0.0,0.7,3.0,11.3,,strusma01
180,Julian Champagnie,24,SAS,SF,81,67,27.7,3.7,8.4,.437,2.4,6.3,.382,1.3,2.1,.598,.579,1.4,1.7,.844,0.9,4.9,5.8,1.6,0.8,0.5,0.8,1.6,11.2,,champju02
181,Sandro Mamukelashvili,26,TOR,C,79,13,21.9,4.1,7.9,.521,1.4,3.7,.388,2.7,4.2,.639,.612,1.5,2.0,.747,1.4,3.6,5.0,1.9,0.8,0.5,0.8,1.8,11.2,,mamuksa01
182,Obi Toppin,27,IND,PF,23,3,17.7,4.0,8.1,.497,1.3,4.1,.319,2.7,4.0,.677,.578,1.8,2.0,.913,0.6,4.0,4.5,2.3,0.5,0.0,1.1,1.2,11.2,,toppiob01
183,Isaiah Joe,26,OKC,SG,71,9,21.2,3.5,7.6,.455,2.5,6.0,.423,0.9,1.6,.574,.622,1.5,1.7,.894,0.5,2.1,2.5,1.3,0.7,0.2,0.6,1.7,11.1,,joeis01
184,Cam Spencer,25,MEM,SG,72,20,23.8,3.7,7.7,.473,2.0,4.5,.449,1.6,3.2,.506,.604,1.8,1.9,.940,0.6,2.0,2.5,5.6,0.7,0.2,1.3,1.4,11.1,,spencca01
185,Kel'el Ware,21,MIA,C,76,33,22.0,4.4,8.4,.528,1.2,3.0,.386,3.3,5.4,.607,.597,0.9,1.2,.755,2.8,6.2,9.0,0.7,0.8,1.1,0.8,1.5,11.0,,wareke01
186,Alondes Williams,26,WAS,SG,4,0,25.3,4.0,6.5,.615,1.3,3.5,.357,2.8,3.0,.917,.712,1.8,2.0,.875,1.3,5.0,6.3,3.0,0.8,0.8,1.3,1.0,11.0,,willial06
187,Rudy Gobert,33,MIN,C,76,76,31.3,4.4,6.5,.682,0.0,0.1,.000,4.4,6.4,.689,.682,2.1,4.0,.526,3.9,7.5,11.5,1.7,0.8,1.6,1.4,2.6,10.9,,goberru01
188,Jusuf Nurkić,31,UTA,C,41,36,26.4,4.4,8.7,.503,0.6,1.7,.352,3.8,7.0,.540,.538,1.5,2.8,.549,2.6,7.8,10.4,4.8,1.3,0.5,2.5,3.3,10.9,,nurkiju01
189,Dennis Schröder,32,2TM,PG,70,17,24.2,3.6,9.0,.405,1.1,3.3,.329,2.6,5.7,.449,.465,2.4,2.9,.834,0.5,2.2,2.7,4.9,0.8,0.2,1.8,1.6,10.8,,schrode01
189,Dennis Schröder,32,SAC,PG,40,14,26.4,4.3,10.6,.408,1.4,4.2,.343,2.9,6.4,.449,.475,2.7,3.3,.820,0.6,2.5,3.1,5.3,0.8,0.2,2.0,1.7,12.8,,schrode01
